moisture,temp,ts,SG,API_Gravity,Density
2865,30.3125,1726555987834,0.6996336996336996,70.74869109947645,699.6336996336996
2880,30.25,1726555989933,0.7032967032967034,69.69531249999997,703.2967032967033
2861,30.3125,1726555992021,0.6986568986568986,71.03145753233136,698.6568986568986
2869,30.25,1726555994107,0.7006105006105006,70.46671314046708,700.6105006105006
2854,30.3125,1726555996189,0.6969474969474969,71.5282060266293,696.9474969474969
2861,30.3125,1726555998271,0.6986568986568986,71.03145753233136,698.6568986568986
2859,30.3125,1726556000353,0.6981684981684981,71.1731374606506,698.1684981684981
2867,30.3125,1726556002435,0.7001221001221001,70.60760376700384,700.1221001221
2870,30.25,1726556004520,0.7008547008547008,70.39634146341464,700.8547008547008
2853,30.25,1726556006602,0.6967032967032967,71.59936908517352,696.7032967032967
2864,30.25,1726556008687,0.6993894993894993,70.81930865921788,699.3894993894993
2864,30.3125,1726556010778,0.6993894993894993,70.81930865921788,699.3894993894993
2855,30.25,1726556012862,0.6971916971916972,71.45709281961473,697.1916971916971
2870,30.3125,1726556014951,0.7008547008547008,70.39634146341464,700.8547008547008
2854,30.25,1726556017040,0.6969474969474969,71.5282060266293,696.9474969474969
2848,30.25,1726556019125,0.6954822954822955,71.95593398876406,695.4822954822954
2859,30.25,1726556021206,0.6981684981684981,71.1731374606506,698.1684981684981
2862,30.3125,1726556023294,0.6989010989010989,70.9606918238994,698.9010989010989
2864,30.25,1726556025377,0.6993894993894993,70.81930865921788,699.3894993894993
2864,30.3125,1726556027463,0.6993894993894993,70.81930865921788,699.3894993894993
2862,30.3125,1726556029545,0.6989010989010989,70.9606918238994,698.9010989010989
2847,30.25,1726556031626,0.6952380952380952,72.02739726027397,695.2380952380952
2863,30.25,1726556033709,0.6991452991452991,70.88997555012227,699.1452991452991
2858,30.25,1726556035792,0.6979242979242979,71.24405178446466,697.9242979242979
2865,30.25,1726556037873,0.6996336996336996,70.74869109947645,699.6336996336996
1324,30.25,1726556039957,0.32332112332112334,306.1453927492447,323.32112332112337
1280,30.25,1726556042044,0.3125763125763126,321.189453125,312.5763125763126
1281,30.25,1726556044143,0.3128205128205128,320.8360655737705,312.8205128205128
1279,30.25,1726556046225,0.31233211233211233,321.5433932759969,312.33211233211233
1219,30.25,1726556048309,0.2976800976800977,343.84249384741594,297.6800976800977
1230,30.25,1726556050394,0.30036630036630035,339.5914634146342,300.3663003663004
1198,30.3125,1726556052476,0.29255189255189257,352.1748747913188,292.5518925518926
1227,30.25,1726556054559,0.2996336996336996,340.74327628361857,299.6336996336996
2838,30.3125,1726556056645,0.693040293040293,72.67283298097252,693.040293040293
2864,30.3125,1726556058750,0.6993894993894993,70.81930865921788,699.3894993894993
2863,30.3125,1726556060840,0.6991452991452991,70.88997555012227,699.1452991452991
2850,30.3125,1726556062949,0.6959706959706959,71.81315789473686,695.9706959706959
2864,30.3125,1726556065034,0.6993894993894993,70.81930865921788,699.3894993894993
1201,30.3125,1726556067117,0.2932844932844933,350.96669442131554,293.2844932844933
1210,30.3125,1726556069198,0.2954822954822955,347.3780991735537,295.4822954822955
1260,30.3125,1726556071284,0.3076923076923077,328.375,307.69230769230774
1200,30.3125,1726556073370,0.29304029304029305,351.36875,293.0402930402931
1187,30.3125,1726556075454,0.2898656898656899,356.6571187868576,289.8656898656899
1190,30.3125,1726556077537,0.2905982905982906,355.42647058823525,290.59829059829065
1191,30.25,1726556079620,0.29084249084249086,355.01763224181354,290.84249084249086
1211,30.3125,1726556081702,0.29572649572649573,346.98265895953756,295.7264957264957
2832,30.3125,1726556083787,0.6915750915750916,73.10540254237287,691.5750915750915
1427,30.3125,1726556085871,0.34847374847374846,274.5564120532586,348.47374847374846
1392,30.25,1726556087958,0.33992673992673994,284.76616379310343,339.9267399267399
1324,30.3125,1726556090039,0.32332112332112334,306.1453927492447,323.32112332112337
1825,30.3125,1726556092123,0.4456654456654457,186.00273972602736,445.6654456654457
2926,30.25,1726556094217,0.7145299145299145,66.53229665071771,714.5299145299145
2910,30.25,1726556096300,0.7106227106227107,67.62113402061854,710.6227106227107
1347,30.25,1726556098386,0.32893772893772893,298.6726057906459,328.93772893772893
1318,30.25,1726556100469,0.3218559218559219,308.13770864946883,321.8559218559219
1221,30.25,1726556102553,0.29816849816849816,343.0638820638821,298.16849816849816
1283,30.25,1726556104639,0.3133089133089133,320.1309431021044,313.3089133089133
2899,30.3125,1726556106721,0.707936507936508,68.37668161434976,707.936507936508
2907,30.3125,1726556108806,0.7098901098901099,67.82662538699691,709.8901098901099
2903,30.25,1726556110890,0.708913308913309,68.10127454357561,708.9133089133089
2914,30.3125,1726556112976,0.7115995115995116,67.34780370624571,711.5995115995116
