moisture,temp,ts
2885,32.75,1726229255216,0.70,69.35
2877,32.75,1726229257294,0.70,69.91
2896,32.75,1726229259377,0.71,68.58
2897,32.6875,1726229261636,0.71,68.51
2894,32.75,1726229263721,0.71,68.72
2887,32.75,1726229265819,0.71,69.21
2893,32.75,1726229267981,0.71,68.79
2893,32.75,1726229270069,0.71,68.79
2883,32.75,1726229272147,0.70,69.49
2895,32.75,1726229274332,0.71,68.65
2896,32.6875,1726229276408,0.71,68.58
2890,32.8125,1726229278510,0.71,69.00
2889,32.75,1726229280618,0.71,69.07
2887,32.75,1726229282695,0.71,69.21
2897,32.75,1726229284779,0.71,68.51
2896,32.75,1726229286883,0.71,68.58
2895,32.75,1726229288986,0.71,68.65
2880,32.75,1726229291064,0.70,69.70
2885,32.75,1726229293145,0.70,69.35
2895,32.6875,1726229295430,0.71,68.65
2885,32.6875,1726229297697,0.70,69.35
2891,32.75,1726229299773,0.71,68.93
2891,32.8125,1726229301850,0.71,68.93
2889,32.75,1726229303933,0.71,69.07
2889,32.75,1726229306010,0.71,69.07
2889,32.75,1726229308085,0.71,69.07
2891,32.6875,1726229310164,0.71,68.93
2898,32.6875,1726229312248,0.71,68.45
2896,32.75,1726229314324,0.71,68.58
2901,32.75,1726229316401,0.71,68.24
2891,32.75,1726229318478,0.71,68.93
2896,32.75,1726229320557,0.71,68.58
2889,32.6875,1726229322638,0.71,69.07
2903,32.6875,1726229324922,0.71,68.10
2898,32.75,1726229327020,0.71,68.45
2896,32.75,1726229329095,0.71,68.58
2889,32.75,1726229331173,0.71,69.07
2890,32.6875,1726229333272,0.71,69.00
2891,32.6875,1726229335349,0.71,68.93
2888,32.75,1726229337443,0.71,69.14
2895,32.75,1726229339520,0.71,68.65
2895,32.75,1726229341597,0.71,68.65
2883,32.75,1726229343691,0.70,69.49
2891,32.6875,1726229345781,0.71,68.93
2899,32.6875,1726229347858,0.71,68.38
2896,32.75,1726229349944,0.71,68.58
2901,32.75,1726229352021,0.71,68.24
2886,32.75,1726229354100,0.70,69.28
2894,32.6875,1726229356464,0.71,68.72
2883,32.6875,1726229358541,0.70,69.49
2895,32.75,1726229360621,0.71,68.65
2896,32.75,1726229362703,0.71,68.58
2896,32.6875,1726229364855,0.71,68.58
2886,32.6875,1726229366943,0.70,69.28
2896,32.75,1726229369024,0.71,68.58
2883,32.6875,1726229371204,0.70,69.49
2903,32.6875,1726229373298,0.71,68.10
2896,32.75,1726229375378,0.71,68.58
2891,32.6875,1726229377498,0.71,68.93
2896,32.625,1726229379578,0.71,68.58
2890,32.6875,1726229381655,0.71,69.00
2894,32.6875,1726229383755,0.71,68.72
2894,32.75,1726229385833,0.71,68.72
2890,32.6875,1726229387928,0.71,69.00
2891,32.6875,1726229390010,0.71,68.93
2895,32.6875,1726229392091,0.71,68.65
2891,32.6875,1726229394201,0.71,68.93
2887,32.75,1726229396279,0.71,69.21
2887,32.6875,1726229398373,0.71,69.21
2889,32.6875,1726229400450,0.71,69.07
2890,32.6875,1726229402529,0.71,69.00
2895,32.6875,1726229404645,0.71,68.65
2896,32.6875,1726229406723,0.71,68.58
2891,32.6875,1726229408819,0.71,68.93
2903,32.625,1726229410913,0.71,68.10
2885,32.6875,1726229413041,0.70,69.35
2893,32.75,1726229415118,0.71,68.79
2891,32.75,1726229417197,0.71,68.93
2877,32.6875,1726229419597,0.70,69.91
2883,32.75,1726229421680,0.70,69.49
2891,32.75,1726229423775,0.71,68.93
2885,32.625,1726229425857,0.70,69.35
2893,32.625,1726229427938,0.71,68.79
2898,32.6875,1726229430018,0.71,68.45
2897,32.6875,1726229432097,0.71,68.51
2883,32.75,1726229434178,0.70,69.49
2893,32.6875,1726229436263,0.71,68.79
2889,32.625,1726229438345,0.71,69.07
2895,32.625,1726229440430,0.71,68.65
2885,32.6875,1726229442521,0.70,69.35
2898,32.75,1726229444600,0.71,68.45
2885,32.6875,1726229446710,0.70,69.35
2887,32.625,1726229448818,0.71,69.21
2899,32.625,1726229450900,0.71,68.38
2886,32.6875,1726229452983,0.70,69.28
2895,32.6875,1726229455072,0.71,68.65
2885,32.6875,1726229457158,0.70,69.35
2880,32.6875,1726229459271,0.70,69.70
2896,32.625,1726229461374,0.71,68.58
2897,32.625,1726229649803,0.71,68.51
2891,32.6875,1726229651882,0.71,68.93
2883,32.625,1726229653966,0.70,69.49
2881,32.625,1726229656045,0.70,69.63
2890,32.5625,1726229658126,0.71,69.00
2895,32.625,1726229660212,0.71,68.65
2895,32.625,1726229662289,0.71,68.65
2894,32.6875,1726229664365,0.71,68.72
2892,32.625,1726229666523,0.71,68.86
2881,32.625,1726229668609,0.70,69.63
2906,32.6875,1726229670689,0.71,67.90
